gateway_id,source_key,rt_id,unit_expected,enabled,notes
gw_autoconsumo_jaen,"OPERA-UNIVER--Autocon--FV.UJA::UJA.Temperatura",uja.jaen.fv.auto.temp01.t_c,"°C",true,"observed catalog: ambient temperature"
gw_autoconsumo_jaen,"OPERA-UNIVER--Autocon--FV.UJA::UJA.Tot_FV_KW sys",uja.jaen.fv.auto.ct_total.p_kw,kW,true,"observed catalog: total power at transformer"
gw_autoconsumo_jaen,"OPERA-UNIVER--Autocon--FV.UJA::UJA.Tot_FV_kWh",uja.jaen.fv.auto.ct_total.e_kwh,kWh,true,"observed catalog: total energy counter"
gw_autoconsumo_jaen,"OPERA-UNIVER--Autocon--FV.UJA::UJA.Pérgola_KW sys",uja.jaen.fv.auto.pergola.p_ac_kw,kW,true,"observed catalog: pergola inverter power"
gw_autoconsumo_jaen,"OPERA-UNIVER--Autocon--FV.UJA::UJA.Pergola_KW sys",uja.jaen.fv.auto.pergola.p_ac_kw,kW,true,"variant without accent"
gw_autoconsumo_jaen,"OPERA-UNIVER--Autocon--FV.UJA::UJA.Perg_Radiación",uja.jaen.fv.auto.pergola_rad.g_wm2,W/m²,true,"observed catalog: pergola irradiation"
gw_autoconsumo_jaen,"OPERA-UNIVER--Autocon--FV.UJA::UJA.Perg_Radiacion",uja.jaen.fv.auto.pergola_rad.g_wm2,W/m²,true,"variant without accent"
gw_autoconsumo_jaen,"OPERA-UNIVER--Autocon--FV.UJA::UJA.Parking_KW sys",uja.jaen.fv.auto.parking_p4.p_ac_kw,kW,true,"observed catalog: parking P4 inverter power"
gw_autoconsumo_jaen,"OPERA-UNIVER--Autocon--FV.UJA::UJA.B5_Inv1_KW sys",uja.jaen.fv.auto.b5_inv1.p_ac_kw,kW,true,"observed catalog: B5 roof inverter 1"
gw_autoconsumo_jaen,"OPERA-UNIVER--Autocon--FV.UJA::UJA.B5_Inv2_KW sys",uja.jaen.fv.auto.b5_inv2.p_ac_kw,kW,true,"observed catalog: B5 roof inverter 2"
gw_autoconsumo_jaen,"OPERA-UNIVER--Autocon--FV.UJA::UJA.B5_Radiación",uja.jaen.fv.auto.b5_rad.g_wm2,W/m²,true,"observed catalog: B5 irradiation"
gw_autoconsumo_jaen,"OPERA-UNIVER--Autocon--FV.UJA::UJA.B5_Radiacion",uja.jaen.fv.auto.b5_rad.g_wm2,W/m²,true,"variant without accent"
gw_autoconsumo_jaen,"OPERA-UNIVER--Autocon--FV.UJA::UJA.Fachada_KW sys",uja.jaen.fv.auto.fachada.p_ac_kw,kW,true,"observed catalog: facade inverter power"
gw_autoconsumo_jaen,"OPERA-UNIVER--Autocon--FV.UJA::UJA.Fachada_Radiación",uja.jaen.fv.auto.fachada_rad.g_wm2,W/m²,true,"observed catalog: facade irradiation"
gw_autoconsumo_jaen,"OPERA-UNIVER--Autocon--FV.UJA::UJA.Fachada_Radiacion",uja.jaen.fv.auto.fachada_rad.g_wm2,W/m²,true,"variant without accent"
