gateway_id,source_key,rt_id,unit_expected,enabled,notes
gw_jaen_energia,"Consumo_Edif_Lagunillas::A0_KW sys",uja.jaen.energia.consumo.edificio_a0.p_kw,kW,true,"sum with FV_A0; split confirmed"
gw_jaen_energia,"Consumo_Edif_Lagunillas::A1_KW sys",uja.jaen.energia.consumo.edificio_a1.p_kw,kW,true,"split confirmed"
gw_jaen_energia,"Consumo_Edif_Lagunillas::A2_KW sys",uja.jaen.energia.consumo.edificio_a2.p_kw,kW,true,"split confirmed"
gw_jaen_energia,"Consumo_Edif_Lagunillas::A3_KW sys",uja.jaen.energia.consumo.edificio_a3.p_kw,kW,true,"A3 = A3 - A4 (A4 downstream); split confirmed"
gw_jaen_energia,"Consumo_Edif_Lagunillas::A4_KW sys",uja.jaen.energia.consumo.edificio_a4.p_kw,kW,true,"split confirmed"
gw_jaen_energia,"Consumo_Edif_Lagunillas::B1_KW sys",uja.jaen.energia.consumo.edificio_b1.p_kw,kW,true,"split confirmed"
gw_jaen_energia,"Consumo_Edif_Lagunillas::B2_KW sys",uja.jaen.energia.consumo.edificio_b2.p_kw,kW,true,"split confirmed"
gw_jaen_energia,"Consumo_Edif_Lagunillas::B3_KW sys",uja.jaen.energia.consumo.edificio_b3.p_kw,kW,true,"meter faulty; split confirmed"
gw_jaen_energia,"Consumo_Edif_Lagunillas::B4_KW sys",uja.jaen.energia.consumo.edificio_b4.p_kw,kW,true,"B4 = B4 - (B5 + D3) (downstream); split confirmed"
gw_jaen_energia,"Consumo_Edif_Lagunillas::B5_KW sys",uja.jaen.energia.consumo.edificio_b5.p_kw,kW,true,"split confirmed"
gw_jaen_energia,"Consumo_Edif_Lagunillas::C1_KW sys",uja.jaen.energia.consumo.edificio_c1.p_kw,kW,true,"split confirmed"
gw_jaen_energia,"Consumo_Edif_Lagunillas::C2_KW sys",uja.jaen.energia.consumo.edificio_c2.p_kw,kW,true,"split confirmed"
gw_jaen_energia,"Consumo_Edif_Lagunillas::C3_KW sys",uja.jaen.energia.consumo.edificio_c3.p_kw,kW,true,"split confirmed"
gw_jaen_energia,"Consumo_Edif_Lagunillas::C5_KW sys",uja.jaen.energia.consumo.edificio_c5.p_kw,kW,true,"split confirmed"
gw_jaen_energia,"Consumo_Edif_Lagunillas::C6_KW sys",uja.jaen.energia.consumo.edificio_c6.p_kw,kW,true,"split confirmed"
gw_jaen_energia,"Consumo_Edif_Lagunillas::Carga_VHE_KW sys",uja.jaen.energia.consumo.carga_vhe.p_kw,kW,true,"split confirmed"
gw_jaen_energia,"Consumo_Edif_Lagunillas::D1_KW sys",uja.jaen.energia.consumo.edificio_d1.p_kw,kW,true,"split confirmed"
gw_jaen_energia,"Consumo_Edif_Lagunillas::D2_KW sys",uja.jaen.energia.consumo.edificio_d2.p_kw,kW,true,"split confirmed"
gw_jaen_energia,"Consumo_Edif_Lagunillas::D3_KW sys",uja.jaen.energia.consumo.edificio_d3.p_kw,kW,true,"split confirmed"
gw_jaen_energia,"Consumo_Edif_Lagunillas::D4_KW sys",uja.jaen.energia.consumo.edificio_d4.p_kw,kW,true,"split confirmed"
gw_jaen_energia,"Consumo_Edif_Resto::C4_KW sys",uja.jaen.energia.consumo.um_c4.p_kw,kW,true,"sum with FV_C4; split confirmed"
gw_jaen_energia,"Consumo_Edif_Resto::Polideportivo_KW sys",uja.jaen.energia.consumo.polideportivo.p_kw,kW,true,"split confirmed"
gw_jaen_energia,"Consumo_Edif_Resto::Magisterio_KW sys",uja.jaen.energia.consumo.ae_magisterio.p_kw,kW,true,"sum with FV_Magisterio; split confirmed"
gw_jaen_energia,"Consumo_Edif_Resto::Residencia_KW sys",uja.jaen.energia.consumo.residencia_domingo_savio.p_kw,kW,true,"split confirmed"
gw_jaen_energia,"Consumo_Edif_Resto::Apartamentos_KW sys",uja.jaen.energia.consumo.apartamentos_universitarios.p_kw,kW,true,"split confirmed"
gw_jaen_energia,"Autoconsumo_FV_Edif::FV_A0_KW sys",uja.jaen.fv.auto.edificio_a0.p_kw,kW,true,"used to adjust A0 demand; split confirmed"
gw_jaen_energia,"Autoconsumo_FV_Edif::FV_C4_KW sys",uja.jaen.fv.auto.edificio_c4.p_kw,kW,true,"used to adjust C4 demand; split confirmed"
gw_jaen_energia,"Autoconsumo_FV_Edif::FV_Magisterio_KW sys",uja.jaen.fv.auto.magisterio.p_kw,kW,true,"used to adjust Magisterio demand; split confirmed"
